"date","Total Confirmed Hospitalizations","Total Confirmed ICU","Total Confirmed and Probable ICU","Total Confirmed Non-ICU","COVID-19 Percent ICU Utilization","Total Percent ICU Utilization","Facilities using prior day data"
2020-04-24,87,45,57,42,NA,NA,3
2020-04-25,92,48,59,44,NA,NA,4
2020-04-26,99,47,55,52,NA,NA,2
2020-04-27,93,48,61,45,NA,NA,0
2020-04-28,93,43,55,50,NA,NA,0
2020-04-29,93,44,64,49,NA,NA,2
2020-04-30,95,48,60,47,NA,NA,9
2020-05-01,89,47,58,42,10,50,2
2020-05-02,93,43,54,50,9,47,7
2020-05-03,102,51,54,51,9,43,6
2020-05-04,101,48,58,53,10,46,5
2020-05-05,95,50,57,45,9,54,4
2020-05-06,95,53,61,42,10,53,3
2020-05-07,92,53,63,39,10,56,2
2020-05-08,94,55,66,39,11,55,6
2020-05-09,93,56,62,37,10,53,6
2020-05-10,92,51,62,41,10,53,6
2020-05-11,99,51,69,48,11,52,3
2020-05-12,99,52,66,47,11,58,15
2020-05-13,101,56,74,45,12,55,0
2020-05-14,96,48,69,48,12,54,2
2020-05-15,103,51,62,52,10,60,3
2020-05-16,103,50,62,53,10,60,5
2020-05-17,98,50,58,48,10,54,7
2020-05-18,96,48,66,48,11,58,2
2020-05-19,100,50,65,50,11,63,4
2020-05-20,109,55,65,54,11,63,5
2020-05-21,108,66,71,42,11,65,2
2020-05-22,103,52,60,51,10,61,5
2020-05-23,96,52,60,44,10,59,6
2020-05-24,95,50,60,45,10,57,6
2020-05-25,98,48,58,50,10,55,6
2020-05-26,97,51,59,46,10,56,0
2020-05-27,97,45,54,52,9,62,1
2020-05-28,101,44,53,57,9,64,2
2020-05-29,99,46,54,53,9,64,3
2020-05-30,90,44,51,46,9,62,7
2020-05-31,102,42,49,60,8,59,6
2020-06-01,107,48,61,59,10,57,2
2020-06-02,108,53,62,55,11,61,4
2020-06-03,118,58,73,60,13,63,4
2020-06-04,114,57,59,57,10,61,3
2020-06-05,113,57,67,56,12,64,5
2020-06-06,118,64,83,54,14,62,9
2020-06-07,112,65,77,47,13,60,8
2020-06-08,126,67,85,59,15,57,4
2020-06-09,124,68,81,56,14,60,5
2020-06-10,119,63,73,56,13,62,3
2020-06-11,130,66,76,64,13,62,3
2020-06-12,132,71,79,61,14,65,8
2020-06-13,137,72,77,65,13,65,8
2020-06-14,144,69,83,75,14,59,10
2020-06-15,143,64,78,79,13,59,8
2020-06-16,149,64,78,85,13,60,4
2020-06-17,150,66,83,84,14,62,6
2020-06-18,149,63,66,86,11,60,8
2020-06-19,166,72,75,94,13,63,9
2020-06-20,169,67,75,102,13,62,11
2020-06-21,171,67,75,104,13,60,8
2020-06-22,166,77,86,89,15,62,2
2020-06-23,167,77,89,90,15,66,2
2020-06-24,170,79,92,91,16,66,1
2020-06-25,174,80,87,94,15,64,6
2020-06-26,189,77,88,112,15,62,6
2020-06-27,192,83,90,109,15,66,11
2020-06-28,193,80,85,113,15,62,10
2020-06-29,205,83,90,122,15,62,5
2020-06-30,194,84,94,110,16,64,6
2020-07-01,184,81,87,103,15,64,7
2020-07-02,186,85,93,101,16,65,4
2020-07-03,193,88,98,105,17,68,3
2020-07-04,183,84,94,99,16,64,9
2020-07-05,192,83,84,109,14,61,7
2020-07-06,197,84,89,113,15,61,6
2020-07-07,199,76,77,123,13,64,2
2020-07-08,177,74,80,103,14,67,5
2020-07-09,182,79,86,103,15,66,3
2020-07-10,203,84,92,119,16,71,2
2020-07-11,210,85,94,125,16,70,9
2020-07-12,207,86,97,121,17,67,8
2020-07-13,176,80,95,96,16,65,1
2020-07-14,204,83,93,121,16,66,3
2020-07-15,199,89,94,110,16,69,3
2020-07-16,198,96,101,102,18,71,4
2020-07-17,188,91,101,97,18,70,5
2020-07-18,200,102,112,98,20,65,12
2020-07-19,199,105,113,94,20,60,9
2020-07-20,186,96,105,90,18,63,3
2020-07-21,197,94,100,103,17,62,5
2020-07-22,210,98,105,112,18,67,3
2020-07-23,225,97,103,128,18,68,5
2020-07-24,202,79,84,123,15,67,5
2020-07-25,210,83,88,127,15,62,9
2020-07-26,207,83,87,124,15,59,8
2020-07-27,211,90,94,121,16,64,1
2020-07-28,211,88,92,123,16,69,4
2020-07-29,217,87,91,130,16,70,5
2020-07-30,213,81,86,132,15,66,5
2020-07-31,210,82,91,128,16,67,6
2020-08-01,203,84,93,119,16,68,10
2020-08-02,207,83,87,124,15,67,7
2020-08-03,181,81,86,100,15,62,3
2020-08-04,188,80,86,108,15,67,6
2020-08-05,193,80,84,113,14,67,3
2020-08-06,202,81,86,121,15,66,6
2020-08-07,195,77,79,118,14,66,5
2020-08-08,197,80,85,117,15,65,10
2020-08-09,193,79,87,114,15,60,9
2020-08-10,195,82,86,113,15,60,3
2020-08-11,200,79,84,121,14,65,5
2020-08-12,184,74,77,110,13,67,4
2020-08-13,171,69,75,102,13,66,7
2020-08-14,169,65,68,104,12,67,5
2020-08-15,164,64,71,100,12,67,12
2020-08-16,139,64,69,75,12,63,10
2020-08-17,134,61,66,73,11,61,4
2020-08-18,139,63,68,76,12,63,5
2020-08-19,139,62,64,77,11,66,4
2020-08-20,128,60,63,68,11,65,6
2020-08-21,131,56,57,75,10,65,2
2020-08-22,145,59,61,86,10,68,9
2020-08-23,137,58,59,79,10,66,10
2020-08-24,124,47,51,77,9,65,4
2020-08-25,118,40,44,78,8,65,5
2020-08-26,126,44,46,82,8,64,4
2020-08-27,124,47,49,77,8,64,3
2020-08-28,119,48,52,71,9,62,4
2020-08-29,124,44,49,80,8,62,11
2020-08-30,125,45,47,80,8,58,10
2020-08-31,126,44,48,82,8,57,4
2020-09-01,127,47,51,80,9,62,7
2020-09-02,113,46,48,67,8,64,4
2020-09-03,121,54,57,67,10,69,6
2020-09-04,107,50,53,57,9,70,2
2020-09-05,117,50,54,67,9,64,9
2020-09-06,119,44,46,75,8,62,9
2020-09-07,115,41,47,74,8,62,11
2020-09-08,116,45,51,71,9,60,5
2020-09-09,118,48,58,70,10,68,7
2020-09-10,123,48,64,75,11,67,5
2020-09-11,120,48,53,72,9,69,4
2020-09-12,129,52,55,77,9,69,9
2020-09-13,134,54,57,80,10,64,11
2020-09-14,128,50,55,78,9,66,5
2020-09-15,115,54,57,61,10,68,6
2020-09-16,120,54,55,66,9,69,3
2020-09-17,132,52,60,80,10,71,5
2020-09-18,137,49,54,88,9,71,3
2020-09-19,141,59,64,82,11,71,8
2020-09-20,144,61,65,83,11,68,7
2020-09-21,161,63,66,98,11,62,2
2020-09-22,171,65,68,106,12,68,7
2020-09-23,188,76,78,112,13,67,3
2020-09-24,184,76,77,108,13,68,2
2020-09-25,187,77,78,110,13,72,6
2020-09-26,180,76,77,104,13,69,8
2020-09-27,167,66,68,101,12,65,9
2020-09-28,183,71,73,112,13,61,4
2020-09-29,203,75,82,128,14,66,3
2020-09-30,201,76,82,125,14,70,6
2020-10-01,190,73,78,117,13,69,2
2020-10-02,176,65,69,111,12,70,5
2020-10-03,175,68,73,107,13,71,10
2020-10-04,166,65,67,101,12,68,9
2020-10-05,208,79,83,129,15,67,7
2020-10-06,226,87,88,139,15,72,6
2020-10-07,237,86,89,151,15,73,4
2020-10-08,243,86,90,157,15,72,5
2020-10-09,231,89,92,142,16,70,8
2020-10-10,254,99,103,155,18,67,12
2020-10-11,249,94,95,155,16,64,9
2020-10-12,250,96,98,154,17,70,7
2020-10-13,259,97,100,162,17,72,3
2020-10-14,284,101,107,183,18,73,5
2020-10-15,291,96,100,195,17,75,5
2020-10-16,293,94,98,199,17,74,7
2020-10-17,284,100,107,184,18,70,5
2020-10-18,290,103,105,187,18,70,5
2020-10-19,294,105,108,189,19,69,6
2020-10-20,318,111,116,207,20,74,2
2020-10-21,308,110,111,198,19,73,2
2020-10-22,314,109,111,205,19,76,3
2020-10-23,310,110,111,200,19,73,5
2020-10-24,306,120,124,186,21,77,9
2020-10-25,291,110,112,181,19,68,6
2020-10-26,301,118,123,183,21,68,2
2020-10-27,318,122,126,196,22,74,3
2020-10-28,316,124,129,192,22,69,3
2020-10-29,323,135,141,188,24,76,3
2020-10-30,317,132,137,185,24,76,6
2020-10-31,342,130,133,212,23,73,5
2020-11-01,359,145,151,214,26,71,3
2020-11-02,379,155,164,224,28,74,1
2020-11-03,384,155,159,229,28,78,4
2020-11-04,388,166,171,222,30,77,4
2020-11-05,405,176,183,229,32,77,2
2020-11-06,412,168,171,244,30,78,5
2020-11-07,441,176,183,265,32,76,14
2020-11-08,444,186,192,258,33,76,13
2020-11-09,453,188,190,265,33,76,6
2020-11-10,462,187,188,275,33,80,3
2020-11-11,477,190,192,287,36,86,0
2020-11-12,477,180,181,297,34,86,4
2020-11-13,491,192,194,299,36,86,5
2020-11-14,485,186,190,299,36,85,2
2020-11-15,513,198,203,315,38,84,4
2020-11-16,518,191,198,327,38,84,0
2020-11-17,550,206,210,344,40,86,4
2020-11-18,527,180,183,347,34,88,7
2020-11-19,555,184,191,371,36,90,3
2020-11-20,563,194,201,369,38,92,5
2020-11-21,535,197,203,338,38,89,7
2020-11-22,550,198,203,352,38,85,6
2020-11-23,573,206,214,367,40,81,3
2020-11-24,571,207,214,364,40,84,5
2020-11-25,569,204,210,365,39,89,5
2020-11-26,581,211,214,370,40,85,5
2020-11-27,564,205,207,359,39,79,4
2020-11-28,548,207,214,341,40,82,7
2020-11-29,559,205,212,354,40,82,6
2020-11-30,576,205,210,371,39,79,6
2020-12-01,569,202,205,367,39,83,12
2020-12-02,593,203,205,390,39,86,2
2020-12-03,587,204,208,383,39,85,1
2020-12-04,606,213,219,393,41,90,2
2020-12-05,586,212,216,374,41,90,6
2020-12-06,589,216,219,373,41,87,5
2020-12-07,577,219,222,358,42,87,2
2020-12-08,584,224,224,360,42,89,6
2020-12-09,547,217,223,330,41,90,5
2020-12-10,567,213,222,354,41,92,5
2020-12-11,545,211,214,334,40,96,6
2020-12-12,547,215,216,332,40,97,8
2020-12-13,564,211,212,353,39,90,6
2020-12-14,552,202,209,350,39,89,2
2020-12-15,561,212,214,349,40,95,6
2020-12-16,558,209,212,349,39,95,3
2020-12-17,543,209,211,334,39,96,7
2020-12-18,563,218,221,345,41,99,7
2020-12-19,557,203,205,354,38,94,10
2020-12-20,550,191,194,359,36,87,8
2020-12-21,544,201,211,343,39,88,2
2020-12-22,562,196,203,366,38,89,6
2020-12-23,561,181,186,380,35,88,5
2020-12-24,516,167,173,349,32,84,6
2020-12-25,475,170,181,305,34,81,11
2020-12-26,478,167,180,311,34,80,3
2020-12-27,495,167,176,328,33,79,3
2020-12-28,511,165,172,346,33,82,2
2020-12-29,487,156,164,331,31,83,4
2020-12-30,514,158,171,356,32,84,4
2020-12-31,496,156,163,340,31,84,8
2021-01-01,485,162,171,323,32,82,10
2021-01-02,485,164,179,321,34,83,6
2021-01-03,482,170,181,312,34,84,5
2021-01-04,519,180,192,339,37,84,4
2021-01-05,521,195,205,326,38,87,1
2021-01-06,535,186,194,349,36,87,3
2021-01-07,539,192,202,347,38,89,4
2021-01-08,534,182,189,352,35,90,7
2021-01-09,534,186,189,348,35,87,7
2021-01-10,552,193,202,359,38,86,7
2021-01-11,565,188,197,377,37,86,1
2021-01-12,567,195,202,372,38,90,2
2021-01-13,559,193,202,366,38,94,5
2021-01-14,584,210,218,374,41,92,2
2021-01-15,580,231,240,349,45,94,4
2021-01-16,558,226,233,332,44,97,7
2021-01-17,570,214,225,356,43,89,12
2021-01-18,571,214,227,357,43,89,1
2021-01-19,545,209,217,336,41,87,2
2021-01-20,532,207,214,325,40,93,4
2021-01-21,491,193,200,298,38,89,3
2021-01-22,475,191,199,284,38,89,4
2021-01-23,460,179,191,281,36,88,8
2021-01-24,471,172,185,299,35,85,6
2021-01-25,452,158,170,294,32,81,4
2021-01-26,447,157,163,290,31,84,15
2021-01-27,442,158,165,284,31,85,3
2021-01-28,442,148,159,294,30,87,3
2021-01-29,429,139,147,290,28,86,3
2021-01-30,408,131,145,277,28,82,6
2021-01-31,401,129,140,272,26,80,7
2021-02-01,392,129,140,263,26,77,4
2021-02-02,349,119,135,230,25,76,3
2021-02-03,365,125,143,240,27,76,2
2021-02-04,346,116,130,230,24,77,3
2021-02-05,335,123,138,212,26,80,7
2021-02-06,326,119,130,207,24,82,11
2021-02-07,311,113,124,198,23,73,8
2021-02-08,317,124,130,193,24,73,7
2021-02-09,320,129,133,191,25,81,4
2021-02-10,322,125,129,197,24,83,5
2021-02-11,312,118,122,194,23,84,4
2021-02-12,297,117,120,180,22,81,5
2021-02-13,281,114,117,167,22,77,9
2021-02-14,275,106,110,169,20,75,5
2021-02-15,272,106,109,166,20,71,9
2021-02-16,261,98,101,163,19,72,3
2021-02-17,254,103,107,151,20,74,6
2021-02-18,254,103,105,151,20,77,6
2021-02-19,242,99,101,143,19,77,8
2021-02-20,240,100,105,140,20,74,11
2021-02-21,234,96,100,138,19,69,7
2021-02-22,239,95,98,144,18,69,4
2021-02-23,223,91,92,132,17,74,3
2021-02-24,221,88,90,133,17,74,5
2021-02-25,231,94,97,137,18,73,6
2021-02-26,224,89,92,135,17,70,4
2021-02-27,203,84,84,119,16,70,9
2021-02-28,214,88,90,126,17,66,6
2021-03-01,214,92,93,122,17,67,7
2021-03-02,212,92,97,120,18,72,8
2021-03-03,202,86,93,116,17,70,10
2021-03-04,201,82,86,119,16,69,7
2021-03-05,194,77,79,117,15,72,6
2021-03-06,190,72,73,118,14,71,10
2021-03-07,192,74,75,118,14,68,8
2021-03-08,185,73,77,112,15,65,6
2021-03-09,176,73,76,103,14,71,5
2021-03-10,167,66,71,101,13,70,5
2021-03-11,184,67,70,117,13,69,3
2021-03-12,144,59,62,85,12,71,6
2021-03-13,169,64,65,105,12,72,8
2021-03-14,167,59,63,108,12,67,6
2021-03-15,172,56,57,116,11,67,7
2021-03-16,181,62,63,119,12,73,4
2021-03-17,189,63,64,126,12,72,3
2021-03-18,176,61,62,115,12,73,4
2021-03-19,161,57,57,104,11,75,5
2021-03-20,155,51,53,104,10,71,10
2021-03-21,138,50,54,88,10,63,10
2021-03-22,131,50,53,81,10,63,4
2021-03-23,128,51,52,77,10,70,3
2021-03-24,136,51,53,85,10,70,17
2021-03-25,130,50,52,80,10,69,12
2021-03-26,139,56,59,83,11,68,11
2021-03-27,142,56,58,86,11,66,9
2021-03-28,143,56,57,87,11,63,10
2021-03-29,134,57,58,77,11,60,8
2021-03-30,134,55,55,79,10,63,5
2021-03-31,135,50,50,85,9,66,7
2021-04-01,142,47,48,95,9,64,4
2021-04-02,134,43,45,91,9,66,7
2021-04-03,127,45,45,82,9,66,12
2021-04-04,123,46,49,77,9,64,10
2021-04-05,131,48,51,83,10,65,6
2021-04-06,142,57,60,85,11,70,5
2021-04-07,136,53,54,83,10,69,6
2021-04-08,137,55,56,82,11,69,5
2021-04-09,142,54,55,88,10,68,4
2021-04-10,129,64,65,65,12,67,10
2021-04-11,122,62,65,60,12,67,9
2021-04-12,127,59,61,68,12,64,5
2021-04-13,143,58,61,85,12,72,3
2021-04-14,146,57,58,89,11,74,4
2021-04-15,160,61,62,99,12,74,5
2021-04-16,137,52,56,85,11,73,7
2021-04-17,136,55,60,81,11,72,9
2021-04-18,139,54,57,85,11,65,12
2021-04-19,140,57,58,83,11,59,2
2021-04-20,146,59,61,87,12,60,7
2021-04-21,134,49,54,85,10,70,4
2021-04-22,141,61,63,80,12,71,5
2021-04-23,152,62,64,90,12,68,3
2021-04-24,157,61,65,96,12,68,11
2021-04-25,145,62,64,83,12,67,8
2021-04-26,139,60,62,79,12,67,3
2021-04-27,150,62,63,88,12,72,3
2021-04-28,143,61,61,82,12,73,4
2021-04-29,143,65,66,78,12,74,4
2021-04-30,136,54,54,82,10,71,6
2021-05-01,134,54,54,80,10,67,14
2021-05-02,134,53,53,81,10,64,12
2021-05-03,144,54,55,90,10,67,4
2021-05-04,151,62,62,89,12,71,0
2021-05-05,143,58,58,85,11,74,4
2021-05-06,136,55,56,81,11,72,4
2021-05-07,138,58,59,80,11,73,5
2021-05-08,140,63,64,77,12,68,10
2021-05-09,139,61,61,78,12,66,11
2021-05-10,142,57,59,85,11,67,3
2021-05-11,63,25,26,38,5,71,2
2021-05-12,153,53,54,100,10,73,7
2021-05-13,149,46,47,103,9,71,3
2021-05-14,145,52,52,93,10,72,5
2021-05-15,153,50,50,103,9,73,12
2021-05-16,149,51,52,98,10,70,35
2021-05-17,136,56,60,80,11,69,5
2021-05-18,134,56,62,78,12,78,3
2021-05-19,139,57,58,82,11,75,6
2021-05-20,140,56,56,84,11,75,9
2021-05-21,126,52,54,74,10,74,7
2021-05-22,134,44,44,90,8,72,9
2021-05-23,136,49,50,87,9,68,10
2021-05-24,136,51,52,85,10,67,6
2021-05-25,145,57,58,88,11,69,7
2021-05-26,140,53,54,87,10,74,10
2021-05-27,148,51,54,97,10,74,3
2021-05-28,145,49,49,96,9,70,10
2021-05-29,129,46,46,83,9,69,9
2021-05-30,132,51,51,81,10,65,11
2021-05-31,130,47,48,83,9,63,14
2021-06-01,136,54,55,82,10,65,6
2021-06-02,143,54,55,89,10,73,6
2021-06-03,142,53,55,89,10,73,6
2021-06-04,140,57,60,83,11,75,6
2021-06-05,130,52,53,78,10,71,10
2021-06-06,126,51,51,75,10,67,9
2021-06-07,143,54,54,89,10,66,6
2021-06-08,155,55,55,100,10,74,6
2021-06-09,157,55,55,102,10,75,5
2021-06-10,157,57,60,100,11,75,6
2021-06-11,163,59,60,104,11,72,6
2021-06-12,149,58,59,91,11,74,12
2021-06-13,154,57,57,97,11,73,13
2021-06-14,151,57,58,94,11,71,7
2021-06-15,161,62,64,99,12,77,5
2021-06-16,172,66,66,106,12,79,6
2021-06-17,171,67,67,104,13,79,5
2021-06-18,167,69,72,98,14,80,6
2021-06-19,155,70,74,85,14,77,12
2021-06-20,150,65,66,85,12,73,15
2021-06-21,161,69,70,92,13,70,7
2021-06-22,167,69,71,98,13,76,7
2021-06-23,194,60,62,134,12,78,7
2021-06-24,206,64,65,142,12,77,9
2021-06-25,201,63,64,138,12,72,10
2021-06-26,216,68,69,148,13,69,15
2021-06-27,220,73,73,147,14,69,16
2021-06-28,231,80,81,151,15,72,5
2021-06-29,246,75,77,171,15,77,6
2021-06-30,253,75,77,178,15,77,6
2021-07-01,253,82,83,171,16,79,3
2021-07-02,266,84,84,182,16,78,6
2021-07-03,266,94,95,172,18,75,11
2021-07-04,263,92,93,171,18,70,13
2021-07-05,272,88,88,184,17,69,10
2021-07-06,220,88,90,132,17,70,5
2021-07-07,230,93,93,137,18,79,5
2021-07-08,237,100,100,137,19,79,5
2021-07-09,237,99,100,138,19,78,6
2021-07-10,217,90,91,127,17,76,13
2021-07-11,217,91,93,126,18,71,13
2021-07-12,232,92,92,140,17,69,8
2021-07-13,240,101,102,139,19,77,2
2021-07-14,258,102,102,156,19,80,6
2021-07-15,281,108,109,173,21,82,4
2021-07-16,290,113,115,177,22,81,6
2021-07-17,293,125,127,168,24,84,12
2021-07-18,281,121,122,160,23,77,10
2021-07-19,294,123,127,171,24,74,5
2021-07-20,296,122,123,174,23,80,4
2021-07-21,295,128,130,167,24,85,4
2021-07-22,305,134,134,171,25,84,4
2021-07-23,327,145,145,182,27,83,10
2021-07-24,326,146,147,180,28,82,13
2021-07-25,342,145,149,197,28,82,12
2021-07-26,339,150,151,189,29,81,7
2021-07-27,353,161,162,192,31,82,5
2021-07-28,357,158,159,199,30,85,1
2021-07-29,351,152,154,199,29,86,6
2021-07-30,366,146,147,220,28,84,5
2021-07-31,375,166,168,209,32,83,14
2021-08-01,368,165,168,203,32,80,13
2021-08-02,399,171,173,228,33,81,4
2021-08-03,391,169,171,222,32,83,4
2021-08-04,398,169,170,229,32,81,4
2021-08-05,369,160,161,209,30,80,5
2021-08-06,382,154,156,228,29,80,3
2021-08-07,374,155,157,219,30,79,10
2021-08-08,379,160,161,219,30,77,10
2021-08-09,379,152,154,227,29,79,4
2021-08-10,392,148,149,244,28,81,4
2021-08-11,388,152,153,236,29,81,6
2021-08-12,352,134,135,218,32,82,4
2021-08-13,393,146,146,247,28,84,5
2021-08-14,378,155,157,223,30,83,11
2021-08-15,379,153,154,226,29,81,12
2021-08-16,386,155,155,231,29,79,6
2021-08-17,400,155,156,245,29,85,6
2021-08-18,399,162,163,237,31,87,4
2021-08-19,420,158,158,262,30,84,5
2021-08-20,419,166,168,253,32,86,6
2021-08-21,423,170,170,253,32,87,13
2021-08-22,434,171,171,263,32,84,13
2021-08-23,440,178,178,262,34,81,4
2021-08-24,468,188,189,280,36,86,3
2021-08-25,463,185,186,278,35,89,6
2021-08-26,461,185,186,276,35,86,4
2021-08-27,487,178,181,309,34,89,5
2021-08-28,473,180,180,293,34,89,14
2021-08-29,466,178,178,288,34,85,12
2021-08-30,490,187,188,303,35,86,4
2021-08-31,489,182,184,307,35,89,6
2021-09-01,495,180,180,315,34,90,3
2021-09-02,512,183,183,329,34,90,4
2021-09-03,503,191,196,312,38,92,6
2021-09-04,496,184,185,312,36,91,13
2021-09-05,483,176,177,307,34,87,13
2021-09-06,482,174,174,308,34,85,13
2021-09-07,487,178,180,309,35,85,6
2021-09-08,518,192,193,326,37,88,6
2021-09-09,530,201,205,329,39,92,4
2021-09-10,536,214,216,322,42,96,4
2021-09-11,549,209,209,340,41,91,16
2021-09-12,564,223,225,341,44,91,14
2021-09-13,581,226,226,355,44,90,3
2021-09-14,569,224,226,345,44,96,8
2021-09-15,589,230,230,359,45,95,4
2021-09-16,588,224,224,364,43,95,4
2021-09-17,596,232,233,364,45,95,7
2021-09-18,576,231,232,345,45,92,15
2021-09-19,577,233,234,344,45,91,16
2021-09-20,571,226,226,345,44,90,6
2021-09-21,558,227,228,331,44,92,8
2021-09-22,570,231,232,339,44,93,3
2021-09-23,570,231,232,339,44,93,49
2021-09-24,570,231,232,339,44,93,49
2021-09-25,558,217,218,341,41,93,19
2021-09-26,556,217,219,339,41,91,18
2021-09-27,573,228,228,345,43,91,9
2021-09-28,473,177,177,296,34,94,3
2021-09-29,567,211,211,356,40,92,6
2021-09-30,578,214,214,364,41,91,4
2021-10-01,569,216,216,353,41,91,7
2021-10-02,551,218,218,333,42,90,14
2021-10-03,551,214,216,337,41,92,13
2021-10-04,560,225,225,335,43,96,7
2021-10-05,575,229,231,346,44,97,7
2021-10-06,568,234,236,334,45,98,7
2021-10-07,576,239,241,337,46,101,6
2021-10-08,575,229,229,346,44,98,6
2021-10-09,578,224,225,354,43,95,16
2021-10-10,579,226,227,353,44,93,15
2021-10-11,592,220,221,372,42,92,5
2021-10-12,574,219,219,355,42,93,6
2021-10-13,572,212,213,360,41,96,6
2021-10-14,550,207,209,343,40,92,6
2021-10-15,549,207,208,342,40,91,6
2021-10-16,526,197,198,329,38,87,15
2021-10-17,518,197,197,321,38,89,16
2021-10-18,523,202,202,321,39,87,10
2021-10-19,541,202,204,339,39,92,4
2021-10-20,553,197,198,356,38,95,13
2021-10-21,529,194,195,335,37,96,9
2021-10-22,519,193,194,326,37,98,13
2021-10-23,544,198,199,346,38,98,17
2021-10-24,523,197,197,326,38,98,36
2021-10-25,524,200,200,324,38,92,10
2021-10-26,543,201,201,342,39,94,9
2021-10-27,535,203,204,332,39,93,10
2021-10-28,539,204,205,335,39,99,11
2021-10-29,519,206,207,313,40,97,14
2021-10-30,531,203,203,328,39,93,16
2021-10-31,537,210,210,327,40,90,18
2021-11-01,528,209,210,319,40,89,11
2021-11-02,549,218,219,331,42,94,10
2021-11-03,575,216,216,359,41,92,12
2021-11-04,571,207,207,364,40,92,11
2021-11-05,520,200,200,320,38,90,11
2021-11-06,563,211,211,352,40,90,16
2021-11-07,564,211,211,353,40,88,15
2021-11-08,587,228,228,359,44,91,9
2021-11-09,571,223,223,348,43,93,9
2021-11-10,554,219,219,335,42,94,9
2021-11-11,537,217,217,320,42,95,10
2021-11-12,553,222,222,331,43,96,8
2021-11-13,524,211,211,313,40,95,18
2021-11-14,555,216,216,339,41,92,17
2021-11-15,565,219,219,346,42,91,12
2021-11-16,557,227,227,330,44,96,12
2021-11-17,549,223,223,326,43,96,11
2021-11-18,531,212,212,319,41,94,11
2021-11-19,516,210,210,306,40,93,12
2021-11-20,511,205,205,306,39,94,16
2021-11-21,526,211,211,315,40,91,16
2021-11-22,538,215,215,323,42,87,8
2021-11-23,531,206,206,325,40,91,9
2021-11-24,525,202,202,323,39,93,13
2021-11-25,512,207,207,305,40,89,17
2021-11-26,513,208,208,305,40,86,15
2021-11-27,511,207,207,304,40,87,18
2021-11-28,521,204,204,317,39,91,15
2021-11-29,513,203,203,310,39,92,11
2021-11-30,516,204,204,312,39,94,8
2021-12-01,519,203,203,316,39,91,10
2021-12-02,508,196,196,312,38,92,11
2021-12-03,506,192,192,314,37,94,13
2021-12-04,495,194,194,301,37,95,17
2021-12-05,504,205,207,299,40,96,17
2021-12-06,517,208,210,309,40,95,14
2021-12-07,521,197,199,324,38,93,15
2021-12-08,555,210,212,345,41,93,10
2021-12-09,534,212,212,322,41,95,9
2021-12-10,519,211,212,308,41,99,12
2021-12-11,513,212,212,301,41,96,15
2021-12-12,502,204,204,298,39,97,18
2021-12-13,502,201,201,301,39,97,12
2021-12-14,516,202,202,314,39,97,12
2021-12-15,503,194,194,309,37,94,15
2021-12-16,498,194,194,304,38,95,14
2021-12-17,474,191,191,283,37,94,12
2021-12-18,462,192,192,270,37,95,19
2021-12-19,453,192,192,261,37,95,19
2021-12-20,443,182,182,261,35,93,16
2021-12-21,457,180,180,277,35,95,13
2021-12-22,454,174,174,280,33,93,10
2021-12-23,445,176,176,269,34,91,14
2021-12-24,427,156,156,271,30,89,19
2021-12-25,434,170,170,264,33,89,17
2021-12-26,431,172,172,259,33,91,16
2021-12-27,438,172,172,266,33,91,14
2021-12-28,440,177,178,263,34,93,12
2021-12-29,436,175,175,261,34,94,16
