"Report Date","Healthcare Worker Cases"
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,3
2020-03-21,2
2020-03-22,9
2020-03-23,1
2020-03-24,5
2020-03-25,3
2020-03-26,11
2020-03-27,12
2020-03-28,12
2020-03-29,4
2020-03-30,3
2020-03-31,9
2020-04-01,4
2020-04-02,13
2020-04-03,16
2020-04-04,15
2020-04-05,11
2020-04-06,11
2020-04-07,12
2020-04-08,12
2020-04-09,9
2020-04-10,8
2020-04-11,6
2020-04-12,6
2020-04-13,5
2020-04-14,10
2020-04-15,14
2020-04-16,6
2020-04-17,7
2020-04-18,10
2020-04-19,5
2020-04-20,5
2020-04-21,6
2020-04-22,11
2020-04-23,11
2020-04-24,17
2020-04-25,10
2020-04-26,5
2020-04-27,2
2020-04-28,5
2020-04-29,15
2020-04-30,10
2020-05-01,9
2020-05-02,12
2020-05-03,14
2020-05-04,15
2020-05-05,15
2020-05-06,16
2020-05-07,18
2020-05-08,9
2020-05-09,17
2020-05-10,8
2020-05-11,11
2020-05-12,18
2020-05-13,15
2020-05-14,15
2020-05-15,18
2020-05-16,10
2020-05-17,12
2020-05-18,10
2020-05-19,14
2020-05-20,14
2020-05-21,21
2020-05-22,11
2020-05-23,9
2020-05-24,13
2020-05-25,12
2020-05-26,7
2020-05-27,27
2020-05-28,24
2020-05-29,24
2020-05-30,22
2020-05-31,16
2020-06-01,18
2020-06-02,19
2020-06-03,28
2020-06-04,21
2020-06-05,22
2020-06-06,28
2020-06-07,24
2020-06-08,18
2020-06-09,22
2020-06-10,30
2020-06-11,20
2020-06-12,40
2020-06-13,32
2020-06-14,21
2020-06-15,20
2020-06-16,35
2020-06-17,36
2020-06-18,44
2020-06-19,44
2020-06-20,36
2020-06-21,31
2020-06-22,28
2020-06-23,36
2020-06-24,33
2020-06-25,39
2020-06-26,29
2020-06-27,35
2020-06-28,33
2020-06-29,41
2020-06-30,35
2020-07-01,42
2020-07-02,40
2020-07-03,53
2020-07-04,31
2020-07-05,38
2020-07-06,44
2020-07-07,55
2020-07-08,52
2020-07-09,74
2020-07-10,46
2020-07-11,46
2020-07-12,45
2020-07-13,49
2020-07-14,35
2020-07-15,61
2020-07-16,45
2020-07-17,57
2020-07-18,73
2020-07-19,25
2020-07-20,29
2020-07-21,52
2020-07-22,40
2020-07-23,45
2020-07-24,45
2020-07-25,22
2020-07-26,42
2020-07-27,36
2020-07-28,37
2020-07-29,42
2020-07-30,51
2020-07-31,32
2020-08-01,46
2020-08-02,31
2020-08-03,26
2020-08-04,37
2020-08-05,45
2020-08-06,36
2020-08-07,37
2020-08-08,26
2020-08-09,12
2020-08-10,26
2020-08-11,29
2020-08-12,31
2020-08-13,39
2020-08-14,23
2020-08-15,30
2020-08-16,15
2020-08-17,16
2020-08-18,26
2020-08-19,45
2020-08-20,33
2020-08-21,32
2020-08-22,17
2020-08-23,19
2020-08-24,29
2020-08-25,35
2020-08-26,41
2020-08-27,30
2020-08-28,37
2020-08-29,30
2020-08-30,13
2020-08-31,14
2020-09-01,40
2020-09-02,31
2020-09-03,33
2020-09-04,46
2020-09-05,34
2020-09-06,20
2020-09-07,12
2020-09-08,24
2020-09-09,30
2020-09-10,47
2020-09-11,41
2020-09-12,66
2020-09-13,40
2020-09-14,37
2020-09-15,57
2020-09-16,81
2020-09-17,76
2020-09-18,88
2020-09-19,69
2020-09-20,48
2020-09-21,63
2020-09-22,58
2020-09-23,76
2020-09-24,94
2020-09-25,72
2020-09-26,88
2020-09-27,57
2020-09-28,46
2020-09-29,73
2020-09-30,84
2020-10-01,85
2020-10-02,116
2020-10-03,96
2020-10-04,65
2020-10-05,68
2020-10-06,98
2020-10-07,109
2020-10-08,109
2020-10-09,90
2020-10-10,69
2020-10-11,53
2020-10-12,79
2020-10-13,100
2020-10-14,107
2020-10-15,98
2020-10-16,108
2020-10-17,82
2020-10-18,90
2020-10-19,86
2020-10-20,139
2020-10-21,123
2020-10-22,161
2020-10-23,113
2020-10-24,143
2020-10-25,69
2020-10-26,96
2020-10-27,106
2020-10-28,126
2020-10-29,169
2020-10-30,140
2020-10-31,117
2020-11-01,81
2020-11-02,143
2020-11-03,184
2020-11-04,206
2020-11-05,209
2020-11-06,162
2020-11-07,154
2020-11-08,137
2020-11-09,164
2020-11-10,159
2020-11-11,199
2020-11-12,183
2020-11-13,199
2020-11-14,100
2020-11-15,83
2020-11-16,152
2020-11-17,155
2020-11-18,177
2020-11-19,171
2020-11-20,148
2020-11-21,112
2020-11-22,84
2020-11-23,103
2020-11-24,119
2020-11-25,164
2020-11-26,85
2020-11-27,103
2020-11-28,58
2020-11-29,68
2020-11-30,178
2020-12-01,211
2020-12-02,171
2020-12-03,142
2020-12-04,120
2020-12-05,93
2020-12-06,92
2020-12-07,114
2020-12-08,128
2020-12-09,115
2020-12-10,148
2020-12-11,102
2020-12-12,83
2020-12-13,67
2020-12-14,114
2020-12-15,162
2020-12-16,143
2020-12-17,108
2020-12-18,117
2020-12-19,89
2020-12-20,75
2020-12-21,113
2020-12-22,128
2020-12-23,130
2020-12-24,102
2020-12-25,41
2020-12-26,28
2020-12-27,72
2020-12-28,118
2020-12-29,139
2020-12-30,159
2020-12-31,80
2021-01-01,55
2021-01-02,40
2021-01-03,61
2021-01-04,100
2021-01-05,136
2021-01-06,122
2021-01-07,139
2021-01-08,81
2021-01-09,60
2021-01-10,41
2021-01-11,86
2021-01-12,81
2021-01-13,72
2021-01-14,58
2021-01-15,61
2021-01-16,39
2021-01-17,31
2021-01-18,44
2021-01-19,66
2021-01-20,60
2021-01-21,67
2021-01-22,31
2021-01-23,29
2021-01-24,14
2021-01-25,34
2021-01-26,51
2021-01-27,38
2021-01-28,43
2021-01-29,33
2021-01-30,14
2021-01-31,11
2021-02-01,35
2021-02-02,37
2021-02-03,32
2021-02-04,23
2021-02-05,12
2021-02-06,16
2021-02-07,12
2021-02-08,19
2021-02-09,24
2021-02-10,21
2021-02-11,22
2021-02-12,12
2021-02-13,16
2021-02-14,8
2021-02-15,12
2021-02-16,25
2021-02-17,15
2021-02-18,10
2021-02-19,10
2021-02-20,9
2021-02-21,5
2021-02-22,11
2021-02-23,21
2021-02-24,16
2021-02-25,12
2021-02-26,12
2021-02-27,6
2021-02-28,4
2021-03-01,11
2021-03-02,13
2021-03-03,12
2021-03-04,11
2021-03-05,12
2021-03-06,8
2021-03-07,9
2021-03-08,9
2021-03-09,15
2021-03-10,13
2021-03-11,14
2021-03-12,15
2021-03-13,6
2021-03-14,5
2021-03-15,8
2021-03-16,12
2021-03-17,9
2021-03-18,15
2021-03-19,13
2021-03-20,10
2021-03-21,5
2021-03-22,5
2021-03-23,10
2021-03-24,8
2021-03-25,6
2021-03-26,9
2021-03-27,3
2021-03-28,6
2021-03-29,7
2021-03-30,8
2021-03-31,13
2021-04-01,7
2021-04-02,13
2021-04-03,4
2021-04-04,6
2021-04-05,8
2021-04-06,20
2021-04-07,6
2021-04-08,10
2021-04-09,7
2021-04-10,11
2021-04-12,7
2021-04-13,9
2021-04-14,11
2021-04-15,10
2021-04-16,9
2021-04-17,11
2021-04-18,7
2021-04-19,16
2021-04-20,6
2021-04-21,16
2021-04-22,8
2021-04-23,9
2021-04-24,5
2021-04-25,9
2021-04-26,8
2021-04-27,11
2021-04-28,12
2021-04-29,8
2021-04-30,7
2021-05-01,2
2021-05-02,6
2021-05-03,8
2021-05-04,10
2021-05-05,10
2021-05-06,12
2021-05-07,19
2021-05-08,5
2021-05-09,3
2021-05-10,7
2021-05-11,16
2021-05-12,14
2021-05-13,11
2021-05-14,9
2021-05-15,10
2021-05-16,7
2021-05-17,6
2021-05-18,12
2021-05-19,9
2021-05-20,11
2021-05-21,9
2021-05-22,2
2021-05-23,3
2021-05-24,10
2021-05-25,10
2021-05-26,10
2021-05-27,10
2021-05-28,12
2021-05-29,2
2021-05-30,3
2021-05-31,2
2021-06-01,7
2021-06-02,16
2021-06-03,11
2021-06-04,12
2021-06-05,7
2021-06-06,3
2021-06-07,8
2021-06-08,13
2021-06-09,11
2021-06-10,12
2021-06-11,8
2021-06-12,7
2021-06-13,6
2021-06-14,13
2021-06-15,24
2021-06-16,19
2021-06-17,12
2021-06-18,7
2021-06-19,3
2021-06-20,8
2021-06-21,13
2021-06-22,21
2021-06-23,12
2021-06-24,14
2021-06-25,9
2021-06-26,7
2021-06-27,9
2021-06-28,20
2021-06-29,20
2021-06-30,26
2021-07-01,14
2021-07-02,24
2021-07-03,7
2021-07-04,5
2021-07-05,6
2021-07-06,11
2021-07-07,22
2021-07-08,25
2021-07-09,19
2021-07-10,23
2021-07-11,9
2021-07-12,21
2021-07-13,26
2021-07-14,26
2021-07-15,27
2021-07-16,22
2021-07-17,18
2021-07-18,15
2021-07-19,24
2021-07-20,38
2021-07-21,22
2021-07-22,35
2021-07-23,20
2021-07-24,14
2021-07-25,9
2021-07-26,22
2021-07-27,27
2021-07-28,28
2021-07-29,25
2021-07-30,35
2021-07-31,17
2021-08-01,13
2021-08-02,22
2021-08-03,26
2021-08-04,38
2021-08-05,29
2021-08-06,23
2021-08-07,13
2021-08-08,4
2021-08-09,27
2021-08-10,27
2021-08-11,25
2021-08-12,29
2021-08-13,34
2021-08-14,21
2021-08-15,7
2021-08-16,30
2021-08-17,49
2021-08-18,33
2021-08-19,40
2021-08-20,36
2021-08-21,25
2021-08-22,13
2021-08-23,27
2021-08-24,40
2021-08-25,24
2021-08-26,37
2021-08-27,38
2021-08-28,28
2021-08-29,11
2021-08-30,34
2021-08-31,28
2021-09-01,38
2021-09-02,43
2021-09-03,23
2021-09-04,21
2021-09-05,15
2021-09-06,9
2021-09-07,34
2021-09-08,31
2021-09-09,34
2021-09-10,26
2021-09-11,15
2021-09-12,10
2021-09-13,20
2021-09-14,24
2021-09-15,20
2021-09-16,18
2021-09-17,13
2021-09-18,11
2021-09-19,7
2021-09-20,22
2021-09-21,21
2021-09-22,15
2021-09-23,20
2021-09-24,15
2021-09-25,18
2021-09-26,11
2021-09-27,21
2021-09-28,24
2021-09-29,19
2021-09-30,18
2021-10-01,22
2021-10-02,17
2021-10-03,14
2021-10-04,21
2021-10-05,30
2021-10-06,27
2021-10-07,32
2021-10-08,18
2021-10-09,16
2021-10-10,13
2021-10-11,20
2021-10-12,27
2021-10-13,29
2021-10-14,33
2021-10-15,26
2021-10-16,17
2021-10-17,12
2021-10-18,33
2021-10-19,34
2021-10-20,40
2021-10-21,36
2021-10-22,30
2021-10-23,16
2021-10-24,14
2021-10-25,25
2021-10-26,35
2021-10-27,19
2021-10-28,29
2021-10-29,30
2021-10-30,14
2021-10-31,14
2021-11-01,31
2021-11-02,34
2021-11-03,39
2021-11-04,34
2021-11-05,42
2021-11-06,16
2021-11-07,21
2021-11-08,30
2021-11-09,32
2021-11-10,39
2021-11-11,22
2021-11-12,19
2021-11-13,20
2021-11-14,12
2021-11-15,25
2021-11-16,25
2021-11-17,27
2021-11-18,27
2021-11-19,22
2021-11-20,14
2021-11-21,17
2021-11-22,21
2021-11-23,22
2021-11-24,13
2021-11-25,13
2021-11-26,13
2021-11-27,14
2021-11-28,12
2021-11-29,16
2021-11-30,33
2021-12-01,25
2021-12-02,20
2021-12-03,18
2021-12-04,11
2021-12-05,19
2021-12-06,19
2021-12-07,24
2021-12-08,16
2021-12-09,11
2021-12-10,20
2021-12-11,16
2021-12-12,11
2021-12-13,32
2021-12-14,21
2021-12-15,20
2021-12-16,20
2021-12-17,17
2021-12-18,14
2021-12-19,15
2021-12-20,15
2021-12-21,29
2021-12-22,32
2021-12-23,22
2021-12-24,22
2021-12-25,19
2021-12-26,18
2021-12-27,37
2021-12-28,54
2021-12-29,64
2021-12-30,85
2021-12-31,66
2022-01-01,44
2022-01-02,43
2022-01-03,81
2022-01-04,146
2022-01-05,111
