"Lineage","Week Sample was Collected","Number Identified in Utah","Percentage of all Sequenced Results per Week"
"Other Lineage",2020-08-30,6,"Sample size too small"
"B.1.429",2020-09-06,1,"Sample size too small"
"Other Lineage",2020-09-06,5,"Sample size too small"
"B.1.429",2020-09-13,1,"Sample size too small"
"Other Lineage",2020-09-13,8,"Sample size too small"
"B.1.427",2020-09-20,1,"Sample size too small"
"B.1.429",2020-09-20,1,"Sample size too small"
"Other Lineage",2020-09-20,15,"Sample size too small"
"Other Lineage",2020-09-27,15,"Sample size too small"
"Other Lineage",2020-10-04,25,"100"
"Other Lineage",2020-10-11,8,"Sample size too small"
"Other Lineage",2020-10-18,10,"Sample size too small"
"Other Lineage",2020-10-25,24,"100"
"B.1.429",2020-11-01,1,"3.6"
"Other Lineage",2020-11-01,27,"96.4"
"Other Lineage",2020-11-08,45,"100"
"B.1.429",2020-11-15,2,"2.9"
"Other Lineage",2020-11-15,68,"97.1"
"Other Lineage",2020-11-22,78,"100"
"Other Lineage",2020-11-29,371,"100"
"B.1.427",2020-12-06,2,"0.7"
"Other Lineage",2020-12-06,270,"99.3"
"B.1.427",2020-12-13,1,"0.3"
"B.1.429",2020-12-13,9,"2.4"
"Other Lineage",2020-12-13,365,"97.3"
"Other Lineage",2020-12-20,120,"100"
"B.1.1.7",2020-12-27,1,"0.3"
"B.1.427",2020-12-27,1,"0.3"
"B.1.429",2020-12-27,3,"1"
"Other Lineage",2020-12-27,282,"98.3"
"B.1.427",2021-01-03,3,"1.4"
"B.1.429",2021-01-03,6,"2.9"
"Other Lineage",2021-01-03,199,"95.7"
"B.1.1.7",2021-01-10,2,"0.2"
"P.1",2021-01-10,1,"0.1"
"B.1.427",2021-01-10,21,"2.1"
"B.1.429",2021-01-10,82,"8.2"
"Other Lineage",2021-01-10,895,"89.4"
"B.1.1.7",2021-01-17,1,"0.1"
"B.1.427",2021-01-17,29,"2.5"
"B.1.429",2021-01-17,113,"9.6"
"Other Lineage",2021-01-17,1037,"87.9"
"B.1.1.7",2021-01-24,2,"0.6"
"B.1.427",2021-01-24,12,"3.4"
"B.1.429",2021-01-24,46,"13.1"
"Other Lineage",2021-01-24,292,"83"
"B.1.1.7",2021-01-31,16,"9.5"
"B.1.427",2021-01-31,4,"2.4"
"B.1.429",2021-01-31,18,"10.7"
"Other Lineage",2021-01-31,130,"77.4"
"B.1.1.7",2021-02-07,16,"16.7"
"P.1",2021-02-07,1,"1"
"B.1.427",2021-02-07,7,"7.3"
"B.1.429",2021-02-07,11,"11.5"
"Other Lineage",2021-02-07,61,"63.5"
"B.1.1.7",2021-02-14,10,"6.1"
"B.1.427",2021-02-14,4,"2.5"
"B.1.429",2021-02-14,30,"18.4"
"Other Lineage",2021-02-14,119,"73"
"B.1.1.7",2021-02-21,46,"32.9"
"P.1",2021-02-21,1,"0.7"
"B.1.427",2021-02-21,3,"2.1"
"B.1.429",2021-02-21,25,"17.9"
"Other Lineage",2021-02-21,65,"46.4"
"B.1.1.7",2021-02-28,58,"52.3"
"B.1.427",2021-02-28,6,"5.4"
"B.1.429",2021-02-28,24,"21.6"
"Other Lineage",2021-02-28,23,"20.7"
"B.1.1.7",2021-03-07,116,"55"
"P.1",2021-03-07,2,"0.9"
"B.1.427",2021-03-07,10,"4.7"
"B.1.429",2021-03-07,38,"18"
"B.1.617.2",2021-03-07,1,"0.5"
"Other Lineage",2021-03-07,44,"20.9"
"B.1.1.7",2021-03-14,212,"63.7"
"B.1.351",2021-03-14,1,"0.3"
"P.1",2021-03-14,3,"0.9"
"B.1.427",2021-03-14,9,"2.7"
"B.1.429",2021-03-14,57,"17.1"
"Other Lineage",2021-03-14,51,"15.3"
"B.1.1.7",2021-03-21,221,"34.2"
"P.1",2021-03-21,11,"1.7"
"B.1.427",2021-03-21,37,"5.7"
"B.1.429",2021-03-21,134,"20.7"
"Other Lineage",2021-03-21,243,"37.6"
"B.1.1.7",2021-03-28,239,"46.9"
"P.1",2021-03-28,7,"1.4"
"B.1.427",2021-03-28,33,"6.5"
"B.1.429",2021-03-28,81,"15.9"
"Other Lineage",2021-03-28,150,"29.4"
"B.1.1.7",2021-04-04,196,"62.4"
"B.1.351",2021-04-04,1,"0.3"
"P.1",2021-04-04,4,"1.3"
"B.1.427",2021-04-04,5,"1.6"
"B.1.429",2021-04-04,17,"5.4"
"Other Lineage",2021-04-04,91,"29"
"B.1.1.7",2021-04-11,315,"58.9"
"B.1.351",2021-04-11,2,"0.4"
"P.1",2021-04-11,10,"1.9"
"B.1.427",2021-04-11,12,"2.2"
"B.1.429",2021-04-11,33,"6.2"
"B.1.617.2",2021-04-11,3,"0.6"
"Other Lineage",2021-04-11,160,"29.9"
"B.1.1.7",2021-04-18,299,"60.4"
"B.1.351",2021-04-18,10,"2"
"P.1",2021-04-18,6,"1.2"
"B.1.427",2021-04-18,19,"3.8"
"B.1.429",2021-04-18,29,"5.9"
"B.1.617.2",2021-04-18,10,"2"
"Other Lineage",2021-04-18,122,"24.6"
"B.1.1.7",2021-04-25,286,"68.3"
"B.1.351",2021-04-25,3,"0.7"
"P.1",2021-04-25,7,"1.7"
"B.1.427",2021-04-25,10,"2.4"
"B.1.429",2021-04-25,13,"3.1"
"B.1.617.2",2021-04-25,11,"2.6"
"Other Lineage",2021-04-25,89,"21.2"
"B.1.1.7",2021-05-02,282,"68"
"B.1.351",2021-05-02,5,"1.2"
"P.1",2021-05-02,8,"1.9"
"B.1.427",2021-05-02,8,"1.9"
"B.1.429",2021-05-02,17,"4.1"
"B.1.617.2",2021-05-02,19,"4.6"
"Other Lineage",2021-05-02,76,"18.3"
"B.1.1.7",2021-05-09,292,"61.1"
"B.1.351",2021-05-09,7,"1.5"
"P.1",2021-05-09,14,"2.9"
"B.1.427",2021-05-09,8,"1.7"
"B.1.429",2021-05-09,4,"0.8"
"B.1.617.2",2021-05-09,43,"9"
"Other Lineage",2021-05-09,110,"23"
"B.1.1.7",2021-05-16,289,"61.9"
"B.1.351",2021-05-16,5,"1.1"
"P.1",2021-05-16,15,"3.2"
"B.1.427",2021-05-16,2,"0.4"
"B.1.429",2021-05-16,2,"0.4"
"B.1.617.2",2021-05-16,62,"13.3"
"Other Lineage",2021-05-16,92,"19.7"
"B.1.1.7",2021-05-23,181,"52.3"
"B.1.351",2021-05-23,1,"0.3"
"P.1",2021-05-23,18,"5.2"
"B.1.427",2021-05-23,6,"1.7"
"B.1.429",2021-05-23,6,"1.7"
"B.1.617.2",2021-05-23,78,"22.5"
"Other Lineage",2021-05-23,56,"16.2"
"B.1.1.7",2021-05-30,160,"35.4"
"B.1.351",2021-05-30,2,"0.4"
"P.1",2021-05-30,16,"3.5"
"B.1.427",2021-05-30,3,"0.7"
"B.1.429",2021-05-30,1,"0.2"
"B.1.617.2",2021-05-30,211,"46.7"
"Other Lineage",2021-05-30,59,"13.1"
"B.1.1.7",2021-06-06,109,"19.3"
"B.1.351",2021-06-06,5,"0.9"
"P.1",2021-06-06,26,"4.6"
"B.1.617.2",2021-06-06,369,"65.4"
"Other Lineage",2021-06-06,55,"9.8"
"B.1.1.7",2021-06-13,90,"14.3"
"P.1",2021-06-13,23,"3.6"
"B.1.427",2021-06-13,2,"0.3"
"B.1.617.2",2021-06-13,461,"73.1"
"Other Lineage",2021-06-13,55,"8.7"
"B.1.1.7",2021-06-20,57,"7.7"
"B.1.351",2021-06-20,1,"0.1"
"P.1",2021-06-20,19,"2.6"
"B.1.427",2021-06-20,3,"0.4"
"B.1.429",2021-06-20,1,"0.1"
"B.1.617.2",2021-06-20,617,"83.4"
"Other Lineage",2021-06-20,42,"5.7"
"B.1.1.7",2021-06-27,46,"5.4"
"P.1",2021-06-27,29,"3.4"
"B.1.617.2",2021-06-27,716,"84.4"
"Other Lineage",2021-06-27,57,"6.7"
"B.1.1.7",2021-07-04,22,"2.6"
"P.1",2021-07-04,14,"1.7"
"B.1.429",2021-07-04,1,"0.1"
"B.1.617.2",2021-07-04,743,"89.2"
"Other Lineage",2021-07-04,53,"6.4"
"B.1.1.7",2021-07-11,20,"1.8"
"P.1",2021-07-11,7,"0.6"
"B.1.617.2",2021-07-11,1028,"93.5"
"Other Lineage",2021-07-11,45,"4.1"
"B.1.1.7",2021-07-18,6,"0.6"
"P.1",2021-07-18,6,"0.6"
"B.1.617.2",2021-07-18,888,"95.3"
"Other Lineage",2021-07-18,32,"3.4"
"B.1.1.7",2021-07-25,5,"0.5"
"B.1.617.2",2021-07-25,1055,"96.2"
"Other Lineage",2021-07-25,37,"3.4"
"B.1.1.7",2021-08-01,3,"0.2"
"P.1",2021-08-01,2,"0.1"
"B.1.617.2",2021-08-01,1327,"97.3"
"Other Lineage",2021-08-01,32,"2.3"
"B.1.1.7",2021-08-08,1,"0.1"
"B.1.617.2",2021-08-08,1593,"97"
"Other Lineage",2021-08-08,49,"3"
"B.1.617.2",2021-08-15,1384,"90.6"
"Other Lineage",2021-08-15,143,"9.4"
"B.1.617.2",2021-08-22,1974,"94.9"
"Other Lineage",2021-08-22,106,"5.1"
"P.1",2021-08-29,1,"0.1"
"B.1.617.2",2021-08-29,1833,"93.5"
"Other Lineage",2021-08-29,126,"6.4"
"B.1.617.2",2021-09-05,1850,"94.5"
"Other Lineage",2021-09-05,107,"5.5"
"B.1.617.2",2021-09-12,2412,"90.7"
"Other Lineage",2021-09-12,246,"9.3"
"B.1.617.2",2021-09-19,1960,"95.1"
"Other Lineage",2021-09-19,101,"4.9"
"B.1.617.2",2021-09-26,1249,"93.9"
"Other Lineage",2021-09-26,81,"6.1"
"B.1.617.2",2021-10-03,889,"83.3"
"Other Lineage",2021-10-03,178,"16.7"
"B.1.617.2",2021-10-10,918,"83.8"
"Other Lineage",2021-10-10,178,"16.2"
"B.1.617.2",2021-10-17,1754,"91.4"
"Other Lineage",2021-10-17,166,"8.6"
"B.1.617.2",2021-10-24,1388,"90.2"
"B.1.1.529",2021-10-24,1,"0.1"
"Other Lineage",2021-10-24,149,"9.7"
"B.1.617.2",2021-10-31,1002,"93.5"
"Other Lineage",2021-10-31,70,"6.5"
"B.1.617.2",2021-11-07,851,"91.3"
"Other Lineage",2021-11-07,81,"8.7"
"B.1.617.2",2021-11-14,709,"87.1"
"Other Lineage",2021-11-14,105,"12.9"
"B.1.617.2",2021-11-21,839,"92"
"Other Lineage",2021-11-21,73,"8"
"B.1.617.2",2021-11-28,1054,"92.9"
"B.1.1.529",2021-11-28,6,"0.5"
"Other Lineage",2021-11-28,75,"6.6"
"B.1.617.2",2021-12-05,965,"91.2"
"B.1.1.529",2021-12-05,9,"0.9"
"Other Lineage",2021-12-05,84,"7.9"
"B.1.617.2",2021-12-12,626,"82.5"
"B.1.1.529",2021-12-12,86,"11.3"
"Other Lineage",2021-12-12,47,"6.2"
"B.1.617.2",2021-12-19,266,"48.9"
"B.1.1.529",2021-12-19,254,"46.7"
"Other Lineage",2021-12-19,24,"4.4"
"B.1.617.2",2021-12-26,86,"15.7"
"B.1.1.529",2021-12-26,445,"81.2"
"Other Lineage",2021-12-26,17,"3.1"
